index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
4610,-2.716938,56.0582183,10,North Berwick to Dunbar,15,24,2.5
4611,-2.7166301,56.0582014,10,North Berwick to Dunbar,15,24,2.5
4612,-2.7162794,56.0581774,10,North Berwick to Dunbar,15,24,2.5
4613,-2.7157694,56.0581633,10,North Berwick to Dunbar,15,24,2.5
4614,-2.7154941,56.0581439,10,North Berwick to Dunbar,15,24,2.5
4615,-2.7147773,56.0580567,10,North Berwick to Dunbar,15,24,2.5
4616,-2.7141829,56.0579424,10,North Berwick to Dunbar,15,24,2.5
4617,-2.7139091,56.0578309,10,North Berwick to Dunbar,15,24,2.5
4618,-2.7137778,56.0576985,10,North Berwick to Dunbar,15,24,2.5
4619,-2.7135767,56.0572999,10,North Berwick to Dunbar,15,24,2.5
4620,-2.7134562,56.0571286,10,North Berwick to Dunbar,15,24,2.5
4621,-2.7133027,56.0569606,10,North Berwick to Dunbar,15,24,2.5
4622,-2.7130257,56.0567853,10,North Berwick to Dunbar,15,24,2.5
4623,-2.712721,56.056657,10,North Berwick to Dunbar,15,24,2.5
4624,-2.7122163,56.0565279,10,North Berwick to Dunbar,15,24,2.5
4625,-2.7118189,56.056449,10,North Berwick to Dunbar,15,24,2.5
4626,-2.7113414,56.056308,10,North Berwick to Dunbar,15,24,2.5
4627,-2.7109861,56.0561501,10,North Berwick to Dunbar,15,24,2.5
4628,-2.7107705,56.0560286,10,North Berwick to Dunbar,15,24,2.5
4629,-2.7105783,56.0559057,10,North Berwick to Dunbar,15,24,2.5
4630,-2.7101927,56.0556274,10,North Berwick to Dunbar,15,24,2.5
4631,-2.7098325,56.0553083,10,North Berwick to Dunbar,15,24,2.5
4632,-2.7092007,56.0547193,10,North Berwick to Dunbar,15,24,2.5
4633,-2.7089371,56.0545058,10,North Berwick to Dunbar,15,24,2.5
4634,-2.7086208,56.054285900000004,10,North Berwick to Dunbar,15,24,2.5
4635,-2.7072365,56.0536099,10,North Berwick to Dunbar,15,24,2.5
4636,-2.7064808,56.0532322,10,North Berwick to Dunbar,15,24,2.5
4637,-2.7054416,56.0528024,10,North Berwick to Dunbar,15,24,2.5
4638,-2.7049101,56.0526652,10,North Berwick to Dunbar,15,24,2.5
4639,-2.7049101,56.0526652,10,North Berwick to Dunbar,15,24,2.5
4640,-2.7048738,56.0527308,10,North Berwick to Dunbar,15,24,2.5
4641,-2.704765,56.052762799999996,10,North Berwick to Dunbar,15,24,2.5
4642,-2.7046475,56.0527425,10,North Berwick to Dunbar,15,24,2.5
4643,-2.7046475,56.0527425,10,North Berwick to Dunbar,15,24,2.5
4644,-2.7035688,56.0531855,10,North Berwick to Dunbar,15,24,2.5
4645,-2.7024526,56.0536015,10,North Berwick to Dunbar,15,24,2.5
4646,-2.7021496,56.0536432,10,North Berwick to Dunbar,15,24,2.5
4647,-2.7016748,56.0536688,10,North Berwick to Dunbar,15,24,2.5
4648,-2.7003458,56.0536726,10,North Berwick to Dunbar,15,24,2.5
4649,-2.7000048,56.0536921,10,North Berwick to Dunbar,15,24,2.5
4650,-2.6996427,56.0537186,10,North Berwick to Dunbar,15,24,2.5
4651,-2.6993783,56.0537144,10,North Berwick to Dunbar,15,24,2.5
4652,-2.6991703,56.0537302,10,North Berwick to Dunbar,15,24,2.5
4653,-2.6991703,56.0537302,10,North Berwick to Dunbar,15,24,2.5
4654,-2.699161,56.0537613,10,North Berwick to Dunbar,15,24,2.5
4655,-2.6991316,56.0537912,10,North Berwick to Dunbar,15,24,2.5
4656,-2.6990883,56.0538127,10,North Berwick to Dunbar,15,24,2.5
4657,-2.6990318,56.0538256,10,North Berwick to Dunbar,15,24,2.5
4658,-2.6989805,56.0538275,10,North Berwick to Dunbar,15,24,2.5
4659,-2.6989215,56.0538188,10,North Berwick to Dunbar,15,24,2.5
4660,-2.6988616,56.0537937,10,North Berwick to Dunbar,15,24,2.5
4661,-2.6988305,56.0537644,10,North Berwick to Dunbar,15,24,2.5
4662,-2.6988191,56.0537315,10,North Berwick to Dunbar,15,24,2.5
4663,-2.6988191,56.0537315,10,North Berwick to Dunbar,15,24,2.5
4664,-2.6987472,56.0537709,10,North Berwick to Dunbar,15,24,2.5
4665,-2.6983192,56.0539297,10,North Berwick to Dunbar,15,24,2.5
4666,-2.696814,56.0542753,10,North Berwick to Dunbar,15,24,2.5
4667,-2.6960042,56.0544508,10,North Berwick to Dunbar,15,24,2.5
4668,-2.6951351,56.0545818,10,North Berwick to Dunbar,15,24,2.5
4669,-2.6945327,56.0546705,10,North Berwick to Dunbar,15,24,2.5
4670,-2.6938579,56.0547619,10,North Berwick to Dunbar,15,24,2.5
4671,-2.6925508,56.055024,10,North Berwick to Dunbar,15,24,2.5
4672,-2.6911957,56.0553867,10,North Berwick to Dunbar,15,24,2.5
4673,-2.6904405,56.0555663,10,North Berwick to Dunbar,15,24,2.5
4674,-2.6881746,56.0560004,10,North Berwick to Dunbar,15,24,2.5
4675,-2.6861542,56.0563298,10,North Berwick to Dunbar,15,24,2.5
4676,-2.6816296,56.0540754,10,North Berwick to Dunbar,15,24,2.5
4677,-2.679382,56.0520384,10,North Berwick to Dunbar,15,24,2.5
4678,-2.6792854,56.0517987,10,North Berwick to Dunbar,15,24,2.5
4679,-2.6764583,56.0482816,10,North Berwick to Dunbar,15,24,2.5
4680,-2.6763135,56.0481678,10,North Berwick to Dunbar,15,24,2.5
4681,-2.6761633,56.0481468,10,North Berwick to Dunbar,15,24,2.5
4682,-2.674157,56.0483955,10,North Berwick to Dunbar,15,24,2.5
4683,-2.6738512,56.0484194,10,North Berwick to Dunbar,15,24,2.5
4684,-2.673701,56.0483835,10,North Berwick to Dunbar,15,24,2.5
4685,-2.6735991,56.0483176,10,North Berwick to Dunbar,15,24,2.5
4686,-2.6735937,56.0482217,10,North Berwick to Dunbar,15,24,2.5
4687,-2.6737279,56.0467776,10,North Berwick to Dunbar,15,24,2.5
4688,-2.673718,56.046546,10,North Berwick to Dunbar,15,24,2.5
4689,-2.673391,56.045514,10,North Berwick to Dunbar,15,24,2.5
4690,-2.672915,56.0445,10,North Berwick to Dunbar,15,24,2.5
4691,-2.67292,56.044429,10,North Berwick to Dunbar,15,24,2.5
4692,-2.672978,56.044359,10,North Berwick to Dunbar,15,24,2.5
4693,-2.673189,56.044268,10,North Berwick to Dunbar,15,24,2.5
4694,-2.676308,56.043372,10,North Berwick to Dunbar,15,24,2.5
4695,-2.676415,56.04333,10,North Berwick to Dunbar,15,24,2.5
4696,-2.676482,56.043258,10,North Berwick to Dunbar,15,24,2.5
4697,-2.676435,56.043151,10,North Berwick to Dunbar,15,24,2.5
4698,-2.676252,56.042973,10,North Berwick to Dunbar,15,24,2.5
4699,-2.671914,56.038934,10,North Berwick to Dunbar,15,24,2.5
4700,-2.671858,56.03886,10,North Berwick to Dunbar,15,24,2.5
4701,-2.671831,56.038695,10,North Berwick to Dunbar,15,24,2.5
4702,-2.6716999,56.0386273,10,North Berwick to Dunbar,15,24,2.5
4703,-2.6714418,56.0383243,10,North Berwick to Dunbar,15,24,2.5
4704,-2.670487,56.0371945,10,North Berwick to Dunbar,15,24,2.5
4705,-2.6699881,56.0366131,10,North Berwick to Dunbar,15,24,2.5
4706,-2.6697311,56.0363377,10,North Berwick to Dunbar,15,24,2.5
4707,-2.6696399,56.0363018,10,North Berwick to Dunbar,15,24,2.5
4708,-2.6694844,56.0363048,10,North Berwick to Dunbar,15,24,2.5
4709,-2.6690941,56.0363459,10,North Berwick to Dunbar,15,24,2.5
4710,-2.6685778,56.0358103,10,North Berwick to Dunbar,15,24,2.5
4711,-2.6679871,56.0351776,10,North Berwick to Dunbar,15,24,2.5
4712,-2.6673059,56.0344523,10,North Berwick to Dunbar,15,24,2.5
4713,-2.6670006,56.0341649,10,North Berwick to Dunbar,15,24,2.5
4714,-2.6665709,56.0338199,10,North Berwick to Dunbar,15,24,2.5
4715,-2.6665125,56.0337902,10,North Berwick to Dunbar,15,24,2.5
4716,-2.6662013,56.0338292,10,North Berwick to Dunbar,15,24,2.5
4717,-2.6659272,56.0335772,10,North Berwick to Dunbar,15,24,2.5
4718,-2.6655249,56.0331246,10,North Berwick to Dunbar,15,24,2.5
4719,-2.6648334,56.0323576,10,North Berwick to Dunbar,15,24,2.5
4720,-2.6643286,56.0317429,10,North Berwick to Dunbar,15,24,2.5
4721,-2.6640019,56.0313535,10,North Berwick to Dunbar,15,24,2.5
4722,-2.6637814,56.0311584,10,North Berwick to Dunbar,15,24,2.5
4723,-2.6627359,56.0304034,10,North Berwick to Dunbar,15,24,2.5
4724,-2.6619897,56.0297946,10,North Berwick to Dunbar,15,24,2.5
4725,-2.6613573,56.0292553,10,North Berwick to Dunbar,15,24,2.5
4726,-2.6607237,56.0286795,10,North Berwick to Dunbar,15,24,2.5
4727,-2.660676,56.0286109,10,North Berwick to Dunbar,15,24,2.5
4728,-2.6605199,56.0285596,10,North Berwick to Dunbar,15,24,2.5
4729,-2.6601497,56.028056,10,North Berwick to Dunbar,15,24,2.5
4730,-2.6595918,56.0273036,10,North Berwick to Dunbar,15,24,2.5
4731,-2.659109,56.0266621,10,North Berwick to Dunbar,15,24,2.5
4732,-2.6585565,56.0259517,10,North Berwick to Dunbar,15,24,2.5
4733,-2.6584331,56.0257718,10,North Berwick to Dunbar,15,24,2.5
4734,-2.6583205,56.0256459,10,North Berwick to Dunbar,15,24,2.5
4735,-2.658181,56.025553,10,North Berwick to Dunbar,15,24,2.5
4736,-2.6578967,56.0254181,10,North Berwick to Dunbar,15,24,2.5
4737,-2.657784,56.0253341,10,North Berwick to Dunbar,15,24,2.5
4738,-2.6577403,56.0252877,10,North Berwick to Dunbar,15,24,2.5
4739,-2.657708,56.025231,10,North Berwick to Dunbar,15,24,2.5
4740,-2.6571786,56.0253085,10,North Berwick to Dunbar,15,24,2.5
4741,-2.656455,56.0253957,10,North Berwick to Dunbar,15,24,2.5
4742,-2.6558512,56.0254191,10,North Berwick to Dunbar,15,24,2.5
4743,-2.6551364,56.025435,10,North Berwick to Dunbar,15,24,2.5
4744,-2.6540591,56.0256091,10,North Berwick to Dunbar,15,24,2.5
4745,-2.6531632,56.0256588,10,North Berwick to Dunbar,15,24,2.5
4746,-2.6525785,56.0256549,10,North Berwick to Dunbar,15,24,2.5
4747,-2.6521328,56.0253885,10,North Berwick to Dunbar,15,24,2.5
4748,-2.651949,56.025323,10,North Berwick to Dunbar,15,24,2.5
4749,-2.6513956,56.0251835,10,North Berwick to Dunbar,15,24,2.5
4750,-2.6506499,56.0249606,10,North Berwick to Dunbar,15,24,2.5
4751,-2.6505274,56.0249,10,North Berwick to Dunbar,15,24,2.5
4752,-2.6503965,56.0247947,10,North Berwick to Dunbar,15,24,2.5
4753,-2.6503297,56.0246871,10,North Berwick to Dunbar,15,24,2.5
4754,-2.6502191,56.0245767,10,North Berwick to Dunbar,15,24,2.5
4755,-2.6500539,56.0245016,10,North Berwick to Dunbar,15,24,2.5
4756,-2.6514619,56.0240845,10,North Berwick to Dunbar,15,24,2.5
4757,-2.6516209,56.0240248,10,North Berwick to Dunbar,15,24,2.5
4758,-2.6517694,56.0239472,10,North Berwick to Dunbar,15,24,2.5
