index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
213,-4.5832169,56.0030827,2,Balloch to Strathblane,18.5,29.6,3
214,-4.5825926,56.0032669,2,Balloch to Strathblane,18.5,29.6,3
215,-4.5812978,56.0036226,2,Balloch to Strathblane,18.5,29.6,3
216,-4.5810476,56.0036966,2,Balloch to Strathblane,18.5,29.6,3
217,-4.5811249,56.0037154,2,Balloch to Strathblane,18.5,29.6,3
218,-4.5812232,56.0038197,2,Balloch to Strathblane,18.5,29.6,3
219,-4.5814561,56.0040921,2,Balloch to Strathblane,18.5,29.6,3
220,-4.581661,56.0042873,2,Balloch to Strathblane,18.5,29.6,3
221,-4.5819845,56.004503,2,Balloch to Strathblane,18.5,29.6,3
222,-4.5822635,56.0047595,2,Balloch to Strathblane,18.5,29.6,3
223,-4.5825987,56.0050894,2,Balloch to Strathblane,18.5,29.6,3
224,-4.5826846,56.0051824,2,Balloch to Strathblane,18.5,29.6,3
225,-4.5825515,56.0052606,2,Balloch to Strathblane,18.5,29.6,3
226,-4.5825239,56.0053091,2,Balloch to Strathblane,18.5,29.6,3
227,-4.5826927,56.0054579,2,Balloch to Strathblane,18.5,29.6,3
228,-4.5827362,56.0055257,2,Balloch to Strathblane,18.5,29.6,3
229,-4.5831546,56.0058256,2,Balloch to Strathblane,18.5,29.6,3
230,-4.5838627,56.0063595,2,Balloch to Strathblane,18.5,29.6,3
231,-4.5839485,56.0064975,2,Balloch to Strathblane,18.5,29.6,3
232,-4.5840392,56.0067056,2,Balloch to Strathblane,18.5,29.6,3
233,-4.5842382,56.0068694,2,Balloch to Strathblane,18.5,29.6,3
234,-4.584324,56.0069173,2,Balloch to Strathblane,18.5,29.6,3
235,-4.584171,56.0069649,2,Balloch to Strathblane,18.5,29.6,3
236,-4.5845573,56.0070308,2,Balloch to Strathblane,18.5,29.6,3
237,-4.5850079,56.0072648,2,Balloch to Strathblane,18.5,29.6,3
238,-4.5861773,56.0080506,2,Balloch to Strathblane,18.5,29.6,3
239,-4.5871107,56.0084284,2,Balloch to Strathblane,18.5,29.6,3
240,-4.5875721,56.0085364,2,Balloch to Strathblane,18.5,29.6,3
241,-4.5882158,56.0088423,2,Balloch to Strathblane,18.5,29.6,3
242,-4.5886986,56.0092262,2,Balloch to Strathblane,18.5,29.6,3
243,-4.5889454,56.0096221,2,Balloch to Strathblane,18.5,29.6,3
244,-4.5890956,56.0100239,2,Balloch to Strathblane,18.5,29.6,3
245,-4.5890956,56.0101979,2,Balloch to Strathblane,18.5,29.6,3
246,-4.588999,56.0103658,2,Balloch to Strathblane,18.5,29.6,3
247,-4.588881,56.0104798,2,Balloch to Strathblane,18.5,29.6,3
248,-4.5883445,56.0108336,2,Balloch to Strathblane,18.5,29.6,3
249,-4.5882587,56.0109596,2,Balloch to Strathblane,18.5,29.6,3
250,-4.5881729,56.0110795,2,Balloch to Strathblane,18.5,29.6,3
251,-4.5882587,56.0115834,2,Balloch to Strathblane,18.5,29.6,3
252,-4.5884411,56.0119012,2,Balloch to Strathblane,18.5,29.6,3
253,-4.588484,56.0121531,2,Balloch to Strathblane,18.5,29.6,3
254,-4.5884733,56.012453,2,Balloch to Strathblane,18.5,29.6,3
255,-4.5884947,56.0126329,2,Balloch to Strathblane,18.5,29.6,3
256,-4.5881815,56.0126188,2,Balloch to Strathblane,18.5,29.6,3
257,-4.5878864,56.0125559,2,Balloch to Strathblane,18.5,29.6,3
258,-4.5874895,56.0124689,2,Balloch to Strathblane,18.5,29.6,3
259,-4.587232,56.0124179,2,Balloch to Strathblane,18.5,29.6,3
260,-4.5870174,56.0124419,2,Balloch to Strathblane,18.5,29.6,3
261,-4.5868672,56.0124959,2,Balloch to Strathblane,18.5,29.6,3
262,-4.5866955,56.0125918,2,Balloch to Strathblane,18.5,29.6,3
263,-4.5865614,56.0127448,2,Balloch to Strathblane,18.5,29.6,3
264,-4.5864971,56.0128947,2,Balloch to Strathblane,18.5,29.6,3
265,-4.5865239,56.0130207,2,Balloch to Strathblane,18.5,29.6,3
266,-4.5866596,56.0131958,2,Balloch to Strathblane,18.5,29.6,3
267,-4.5867615,56.0133307,2,Balloch to Strathblane,18.5,29.6,3
268,-4.5867975,56.0135005,2,Balloch to Strathblane,18.5,29.6,3
269,-4.5867438,56.0136414,2,Balloch to Strathblane,18.5,29.6,3
270,-4.5867009,56.0137733,2,Balloch to Strathblane,18.5,29.6,3
271,-4.5866794,56.0138903,2,Balloch to Strathblane,18.5,29.6,3
272,-4.5866258,56.0139892,2,Balloch to Strathblane,18.5,29.6,3
273,-4.5865185,56.0140282,2,Balloch to Strathblane,18.5,29.6,3
274,-4.5863308,56.0140222,2,Balloch to Strathblane,18.5,29.6,3
275,-4.5861162,56.0139713,2,Balloch to Strathblane,18.5,29.6,3
276,-4.585848,56.0138453,2,Balloch to Strathblane,18.5,29.6,3
277,-4.5855315,56.0136924,2,Balloch to Strathblane,18.5,29.6,3
278,-4.5854242,56.0135754,2,Balloch to Strathblane,18.5,29.6,3
279,-4.5852901,56.013518500000004,2,Balloch to Strathblane,18.5,29.6,3
280,-4.585054,56.0134495,2,Balloch to Strathblane,18.5,29.6,3
281,-4.5847751,56.0134045,2,Balloch to Strathblane,18.5,29.6,3
282,-4.5845873,56.0133865,2,Balloch to Strathblane,18.5,29.6,3
283,-4.5844532,56.0134135,2,Balloch to Strathblane,18.5,29.6,3
284,-4.5841669,56.0135245,2,Balloch to Strathblane,18.5,29.6,3
285,-4.584075,56.0133909,2,Balloch to Strathblane,18.5,29.6,3
286,-4.5839168,56.013184,2,Balloch to Strathblane,18.5,29.6,3
287,-4.5838229,56.0130476,2,Balloch to Strathblane,18.5,29.6,3
288,-4.5838873,56.0129921,2,Balloch to Strathblane,18.5,29.6,3
289,-4.5839409,56.0129276,2,Balloch to Strathblane,18.5,29.6,3
290,-4.5838256,56.0127417,2,Balloch to Strathblane,18.5,29.6,3
291,-4.5837585,56.0127012,2,Balloch to Strathblane,18.5,29.6,3
292,-4.5836351,56.0126937,2,Balloch to Strathblane,18.5,29.6,3
293,-4.5833363,56.0127535,2,Balloch to Strathblane,18.5,29.6,3
294,-4.5830831,56.0128135,2,Balloch to Strathblane,18.5,29.6,3
295,-4.5824237,56.012583,2,Balloch to Strathblane,18.5,29.6,3
296,-4.5811455,56.012357,2,Balloch to Strathblane,18.5,29.6,3
297,-4.5808181,56.0123397,2,Balloch to Strathblane,18.5,29.6,3
298,-4.5778036,56.0130999,2,Balloch to Strathblane,18.5,29.6,3
299,-4.5768685,56.0132387,2,Balloch to Strathblane,18.5,29.6,3
300,-4.5758687,56.0132943,2,Balloch to Strathblane,18.5,29.6,3
301,-4.5750193,56.0133346,2,Balloch to Strathblane,18.5,29.6,3
302,-4.5746205,56.0133041,2,Balloch to Strathblane,18.5,29.6,3
303,-4.5734461,56.0131621,2,Balloch to Strathblane,18.5,29.6,3
304,-4.571639,56.0132759,2,Balloch to Strathblane,18.5,29.6,3
305,-4.5707838,56.0135246,2,Balloch to Strathblane,18.5,29.6,3
306,-4.5692163,56.0134105,2,Balloch to Strathblane,18.5,29.6,3
307,-4.567336,56.0129911,2,Balloch to Strathblane,18.5,29.6,3
308,-4.5671967,56.012903,2,Balloch to Strathblane,18.5,29.6,3
309,-4.5631465,56.0130007,2,Balloch to Strathblane,18.5,29.6,3
310,-4.5625878,56.0134342,2,Balloch to Strathblane,18.5,29.6,3
311,-4.562326,56.013717,2,Balloch to Strathblane,18.5,29.6,3
312,-4.5621777,56.0138009,2,Balloch to Strathblane,18.5,29.6,3
313,-4.5613022,56.0144556,2,Balloch to Strathblane,18.5,29.6,3
314,-4.5606165,56.0150034,2,Balloch to Strathblane,18.5,29.6,3
315,-4.5602581,56.0151729,2,Balloch to Strathblane,18.5,29.6,3
316,-4.5597324,56.0152267,2,Balloch to Strathblane,18.5,29.6,3
317,-4.5596731,56.0150894,2,Balloch to Strathblane,18.5,29.6,3
318,-4.5597639,56.0147505,2,Balloch to Strathblane,18.5,29.6,3
319,-4.5596922,56.0145194,2,Balloch to Strathblane,18.5,29.6,3
320,-4.5593574,56.0141368,2,Balloch to Strathblane,18.5,29.6,3
321,-4.5585525,56.0138419,2,Balloch to Strathblane,18.5,29.6,3
322,-4.5565121,56.0131086,2,Balloch to Strathblane,18.5,29.6,3
323,-4.5550695,56.012997,2,Balloch to Strathblane,18.5,29.6,3
324,-4.5530131,56.013268,2,Balloch to Strathblane,18.5,29.6,3
325,-4.5509807,56.0144556,2,Balloch to Strathblane,18.5,29.6,3
326,-4.5479759,56.0129572,2,Balloch to Strathblane,18.5,29.6,3
327,-4.5437918,56.0145472,2,Balloch to Strathblane,18.5,29.6,3
328,-4.5406096,56.0157863,2,Balloch to Strathblane,18.5,29.6,3
329,-4.5387786,56.0162963,2,Balloch to Strathblane,18.5,29.6,3
330,-4.5353217,56.0157041,2,Balloch to Strathblane,18.5,29.6,3
331,-4.5346055,56.0153873,2,Balloch to Strathblane,18.5,29.6,3
332,-4.5337792,56.015346,2,Balloch to Strathblane,18.5,29.6,3
333,-4.53276,56.0158281,2,Balloch to Strathblane,18.5,29.6,3
334,-4.5304045,56.0174328,2,Balloch to Strathblane,18.5,29.6,3
335,-4.5274713,56.0183347,2,Balloch to Strathblane,18.5,29.6,3
336,-4.5189924,56.0210245,2,Balloch to Strathblane,18.5,29.6,3
337,-4.5152137,56.0221772,2,Balloch to Strathblane,18.5,29.6,3
338,-4.5142496,56.0223149,2,Balloch to Strathblane,18.5,29.6,3
339,-4.50987,56.022012,2,Balloch to Strathblane,18.5,29.6,3
340,-4.5093742,56.0217503,2,Balloch to Strathblane,18.5,29.6,3
341,-4.5083037,56.0208292,2,Balloch to Strathblane,18.5,29.6,3
342,-4.5043626,56.0227354,2,Balloch to Strathblane,18.5,29.6,3
343,-4.5025019,56.0239909,2,Balloch to Strathblane,18.5,29.6,3
344,-4.5015842,56.0244839,2,Balloch to Strathblane,18.5,29.6,3
345,-4.4953248,56.0256482,2,Balloch to Strathblane,18.5,29.6,3
346,-4.4945851,56.0258673,2,Balloch to Strathblane,18.5,29.6,3
347,-4.4932565,56.0265522,2,Balloch to Strathblane,18.5,29.6,3
348,-4.4922413,56.0284474,2,Balloch to Strathblane,18.5,29.6,3
349,-4.4918457,56.0294833,2,Balloch to Strathblane,18.5,29.6,3
350,-4.4922019,56.0305243,2,Balloch to Strathblane,18.5,29.6,3
351,-4.4915444,56.0318666,2,Balloch to Strathblane,18.5,29.6,3
352,-4.4901473,56.0329486,2,Balloch to Strathblane,18.5,29.6,3
353,-4.4889976,56.0324338,2,Balloch to Strathblane,18.5,29.6,3
354,-4.4866929,56.0312446,2,Balloch to Strathblane,18.5,29.6,3
355,-4.485887,56.0309441,2,Balloch to Strathblane,18.5,29.6,3
356,-4.4850947,56.030507,2,Balloch to Strathblane,18.5,29.6,3
357,-4.4838517,56.030425,2,Balloch to Strathblane,18.5,29.6,3
358,-4.4830049,56.0309168,2,Balloch to Strathblane,18.5,29.6,3
359,-4.4820077,56.0314358,2,Balloch to Strathblane,18.5,29.6,3
360,-4.4814067,56.0320915,2,Balloch to Strathblane,18.5,29.6,3
361,-4.4813931,56.0325695,2,Balloch to Strathblane,18.5,29.6,3
362,-4.4802184,56.0337169,2,Balloch to Strathblane,18.5,29.6,3
363,-4.47903,56.0343725,2,Balloch to Strathblane,18.5,29.6,3
364,-4.4778144,56.0360253,2,Balloch to Strathblane,18.5,29.6,3
365,-4.4761915,56.0370851,2,Balloch to Strathblane,18.5,29.6,3
366,-4.4751472,56.0375519,2,Balloch to Strathblane,18.5,29.6,3
367,-4.4750415,56.0377054,2,Balloch to Strathblane,18.5,29.6,3
368,-4.4751508,56.0379649,2,Balloch to Strathblane,18.5,29.6,3
