index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
752,-4.3057926,55.985372,3,Strathblane to Kilsyth,13,20.8,2.5
753,-4.3048225,55.9854603,3,Strathblane to Kilsyth,13,20.8,2.5
754,-4.3032369,55.9856524,3,Strathblane to Kilsyth,13,20.8,2.5
755,-4.3027106,55.9848045,3,Strathblane to Kilsyth,13,20.8,2.5
756,-4.3023686,55.9845353,3,Strathblane to Kilsyth,13,20.8,2.5
757,-4.3000576,55.9840134,3,Strathblane to Kilsyth,13,20.8,2.5
758,-4.2983209,55.9837758,3,Strathblane to Kilsyth,13,20.8,2.5
759,-4.2969942,55.9836543,3,Strathblane to Kilsyth,13,20.8,2.5
760,-4.2957344,55.9835936,3,Strathblane to Kilsyth,13,20.8,2.5
761,-4.2943521,55.9835756,3,Strathblane to Kilsyth,13,20.8,2.5
762,-4.2929574,55.9835971,3,Strathblane to Kilsyth,13,20.8,2.5
763,-4.2901331,55.9836871,3,Strathblane to Kilsyth,13,20.8,2.5
764,-4.2879614,55.9837208,3,Strathblane to Kilsyth,13,20.8,2.5
765,-4.2856434,55.9836083,3,Strathblane to Kilsyth,13,20.8,2.5
766,-4.2836112,55.9833415,3,Strathblane to Kilsyth,13,20.8,2.5
767,-4.2832931,55.9832877,3,Strathblane to Kilsyth,13,20.8,2.5
768,-4.2804071,55.9826685,3,Strathblane to Kilsyth,13,20.8,2.5
769,-4.2786601,55.982143,3,Strathblane to Kilsyth,13,20.8,2.5
770,-4.2771399,55.9815966,3,Strathblane to Kilsyth,13,20.8,2.5
771,-4.2749041,55.9809193,3,Strathblane to Kilsyth,13,20.8,2.5
772,-4.2728867,55.9806475,3,Strathblane to Kilsyth,13,20.8,2.5
773,-4.2709463,55.9805969,3,Strathblane to Kilsyth,13,20.8,2.5
774,-4.2690896,55.980625,3,Strathblane to Kilsyth,13,20.8,2.5
775,-4.2669095,55.98085,3,Strathblane to Kilsyth,13,20.8,2.5
776,-4.2657018,55.9809769,3,Strathblane to Kilsyth,13,20.8,2.5
777,-4.2654884,55.9810027,3,Strathblane to Kilsyth,13,20.8,2.5
778,-4.2644131,55.9811257,3,Strathblane to Kilsyth,13,20.8,2.5
779,-4.262724,55.9812585,3,Strathblane to Kilsyth,13,20.8,2.5
780,-4.2609692,55.9812625,3,Strathblane to Kilsyth,13,20.8,2.5
781,-4.2580166,55.9810653,3,Strathblane to Kilsyth,13,20.8,2.5
782,-4.2555087,55.9807123,3,Strathblane to Kilsyth,13,20.8,2.5
783,-4.2542851,55.9805049,3,Strathblane to Kilsyth,13,20.8,2.5
784,-4.2528246,55.980318,3,Strathblane to Kilsyth,13,20.8,2.5
785,-4.2513302,55.980198,3,Strathblane to Kilsyth,13,20.8,2.5
786,-4.2499997,55.9801618,3,Strathblane to Kilsyth,13,20.8,2.5
787,-4.2479083,55.9802303,3,Strathblane to Kilsyth,13,20.8,2.5
788,-4.2468984,55.9802768,3,Strathblane to Kilsyth,13,20.8,2.5
789,-4.2459831,55.9802904,3,Strathblane to Kilsyth,13,20.8,2.5
790,-4.2445572,55.9802184,3,Strathblane to Kilsyth,13,20.8,2.5
791,-4.2428721,55.9801032,3,Strathblane to Kilsyth,13,20.8,2.5
792,-4.2411293,55.9799591,3,Strathblane to Kilsyth,13,20.8,2.5
793,-4.239581,55.9798511,3,Strathblane to Kilsyth,13,20.8,2.5
794,-4.2383424,55.9796999,3,Strathblane to Kilsyth,13,20.8,2.5
795,-4.2369074,55.9796353,3,Strathblane to Kilsyth,13,20.8,2.5
796,-4.2357584,55.9795897,3,Strathblane to Kilsyth,13,20.8,2.5
797,-4.234511,55.9796223,3,Strathblane to Kilsyth,13,20.8,2.5
798,-4.2334718,55.9796574,3,Strathblane to Kilsyth,13,20.8,2.5
799,-4.2321502,55.9798023,3,Strathblane to Kilsyth,13,20.8,2.5
800,-4.2312411,55.9798856,3,Strathblane to Kilsyth,13,20.8,2.5
801,-4.2304329,55.9799237,3,Strathblane to Kilsyth,13,20.8,2.5
802,-4.2287309,55.9799696,3,Strathblane to Kilsyth,13,20.8,2.5
