index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
1055,-4.0514758,55.9680107,4,Kilsyth to Falkirk,13,20.8,2.5
1056,-4.0513193,55.9680239,4,Kilsyth to Falkirk,13,20.8,2.5
1057,-4.0504381,55.9679234,4,Kilsyth to Falkirk,13,20.8,2.5
1058,-4.0496877,55.9677826,4,Kilsyth to Falkirk,13,20.8,2.5
1059,-4.0482389,55.9672894,4,Kilsyth to Falkirk,13,20.8,2.5
1060,-4.0476784,55.9671485,4,Kilsyth to Falkirk,13,20.8,2.5
1061,-4.0471363,55.967072,4,Kilsyth to Falkirk,13,20.8,2.5
1062,-4.0465942,55.9670505,4,Kilsyth to Falkirk,13,20.8,2.5
1063,-4.0456539,55.9671087,4,Kilsyth to Falkirk,13,20.8,2.5
1064,-4.0446492,55.9672343,4,Kilsyth to Falkirk,13,20.8,2.5
1065,-4.0442204,55.9673997,4,Kilsyth to Falkirk,13,20.8,2.5
1066,-4.0437396,55.9677152,4,Kilsyth to Falkirk,13,20.8,2.5
1067,-4.0434088,55.9678469,4,Kilsyth to Falkirk,13,20.8,2.5
1068,-4.0429922,55.967951,4,Kilsyth to Falkirk,13,20.8,2.5
1069,-4.0416323,55.9680766,4,Kilsyth to Falkirk,13,20.8,2.5
1070,-4.0407012,55.968242,4,Kilsyth to Falkirk,13,20.8,2.5
1071,-4.0397701,55.9682757,4,Kilsyth to Falkirk,13,20.8,2.5
1072,-4.0387624,55.9683982,4,Kilsyth to Falkirk,13,20.8,2.5
1073,-4.0378619,55.9686095,4,Kilsyth to Falkirk,13,20.8,2.5
1074,-4.0374301,55.9687535,4,Kilsyth to Falkirk,13,20.8,2.5
1075,-4.036842,55.9690383,4,Kilsyth to Falkirk,13,20.8,2.5
1076,-4.036309,55.9692772,4,Kilsyth to Falkirk,13,20.8,2.5
1077,-4.0354055,55.9696785,4,Kilsyth to Falkirk,13,20.8,2.5
1078,-4.0344407,55.9700338,4,Kilsyth to Falkirk,13,20.8,2.5
1079,-4.0335463,55.9702298,4,Kilsyth to Falkirk,13,20.8,2.5
1080,-4.0329674,55.9704809,4,Kilsyth to Falkirk,13,20.8,2.5
1081,-4.0324314,55.9708148,4,Kilsyth to Falkirk,13,20.8,2.5
1082,-4.0316627,55.9710108,4,Kilsyth to Falkirk,13,20.8,2.5
1083,-4.031044,55.9710996,4,Kilsyth to Falkirk,13,20.8,2.5
1084,-4.0302997,55.9712589,4,Kilsyth to Falkirk,13,20.8,2.5
1085,-4.029534,55.9715039,4,Kilsyth to Falkirk,13,20.8,2.5
1086,-4.029047,55.9717122,4,Kilsyth to Falkirk,13,20.8,2.5
1087,-4.0284528,55.9720614,4,Kilsyth to Falkirk,13,20.8,2.5
1088,-4.0277606,55.9723493,4,Kilsyth to Falkirk,13,20.8,2.5
1089,-4.0265029,55.9727175,4,Kilsyth to Falkirk,13,20.8,2.5
1090,-4.0261709,55.972768,4,Kilsyth to Falkirk,13,20.8,2.5
1091,-4.0251998,55.9727465,4,Kilsyth to Falkirk,13,20.8,2.5
1092,-4.0249427,55.9728096,4,Kilsyth to Falkirk,13,20.8,2.5
1093,-4.0248358,55.972801,4,Kilsyth to Falkirk,13,20.8,2.5
1094,-4.024555,55.9727702,4,Kilsyth to Falkirk,13,20.8,2.5
1095,-4.0244522,55.9727546,4,Kilsyth to Falkirk,13,20.8,2.5
1096,-4.0243474,55.9727603,4,Kilsyth to Falkirk,13,20.8,2.5
1097,-4.0240439,55.9728004,4,Kilsyth to Falkirk,13,20.8,2.5
1098,-4.0238431,55.972824,4,Kilsyth to Falkirk,13,20.8,2.5
1099,-4.0232949,55.9729012,4,Kilsyth to Falkirk,13,20.8,2.5
1100,-4.0225904,55.9730476,4,Kilsyth to Falkirk,13,20.8,2.5
1101,-4.0220299,55.9732375,4,Kilsyth to Falkirk,13,20.8,2.5
1102,-4.0208476,55.9735959,4,Kilsyth to Falkirk,13,20.8,2.5
1103,-4.0198032,55.9737337,4,Kilsyth to Falkirk,13,20.8,2.5
1104,-4.0188721,55.9740492,4,Kilsyth to Falkirk,13,20.8,2.5
1105,-4.018284,55.9742697,4,Kilsyth to Falkirk,13,20.8,2.5
1106,-4.0165566,55.9748639,4,Kilsyth to Falkirk,13,20.8,2.5
1107,-4.0141706,55.9756327,4,Kilsyth to Falkirk,13,20.8,2.5
1108,-4.0124217,55.9761687,4,Kilsyth to Falkirk,13,20.8,2.5
1109,-4.0112118,55.9764168,4,Kilsyth to Falkirk,13,20.8,2.5
