index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
1640,-3.7887327,55.9837517,5,Falkirk to Linlithgow,8.5,13.6,2.5
1641,-3.7882569,55.9842273,5,Falkirk to Linlithgow,8.5,13.6,2.5
1642,-3.7881701,55.984163,5,Falkirk to Linlithgow,8.5,13.6,2.5
1643,-3.7873796,55.9837952,5,Falkirk to Linlithgow,8.5,13.6,2.5
1644,-3.7861985,55.9834796,5,Falkirk to Linlithgow,8.5,13.6,2.5
1645,-3.7851665,55.9832439,5,Falkirk to Linlithgow,8.5,13.6,2.5
1646,-3.7848191,55.9832371,5,Falkirk to Linlithgow,8.5,13.6,2.5
1647,-3.7841352,55.9832466,5,Falkirk to Linlithgow,8.5,13.6,2.5
1648,-3.7829733,55.9833091,5,Falkirk to Linlithgow,8.5,13.6,2.5
1649,-3.781829,55.9833505,5,Falkirk to Linlithgow,8.5,13.6,2.5
1650,-3.7800896,55.9836131,5,Falkirk to Linlithgow,8.5,13.6,2.5
1651,-3.7789601,55.98376,5,Falkirk to Linlithgow,8.5,13.6,2.5
1652,-3.7778065,55.983875,5,Falkirk to Linlithgow,8.5,13.6,2.5
1653,-3.7763729,55.9839525,5,Falkirk to Linlithgow,8.5,13.6,2.5
1654,-3.775584,55.9839713,5,Falkirk to Linlithgow,8.5,13.6,2.5
1655,-3.7745983,55.9839078,5,Falkirk to Linlithgow,8.5,13.6,2.5
1656,-3.773854,55.9838168,5,Falkirk to Linlithgow,8.5,13.6,2.5
1657,-3.7735812,55.9837509,5,Falkirk to Linlithgow,8.5,13.6,2.5
1658,-3.7733231,55.9836616,5,Falkirk to Linlithgow,8.5,13.6,2.5
1659,-3.7732816,55.9836411,5,Falkirk to Linlithgow,8.5,13.6,2.5
1660,-3.7731916,55.9836223,5,Falkirk to Linlithgow,8.5,13.6,2.5
1661,-3.7730956,55.9836191,5,Falkirk to Linlithgow,8.5,13.6,2.5
1662,-3.7728683,55.9835997,5,Falkirk to Linlithgow,8.5,13.6,2.5
1663,-3.7724816,55.9835111,5,Falkirk to Linlithgow,8.5,13.6,2.5
1664,-3.7717438,55.9832924,5,Falkirk to Linlithgow,8.5,13.6,2.5
1665,-3.7715281,55.9832398,5,Falkirk to Linlithgow,8.5,13.6,2.5
1666,-3.7713064,55.9832164,5,Falkirk to Linlithgow,8.5,13.6,2.5
1667,-3.7700941,55.9832835,5,Falkirk to Linlithgow,8.5,13.6,2.5
1668,-3.7694555,55.9832622,5,Falkirk to Linlithgow,8.5,13.6,2.5
1669,-3.768606,55.9831276,5,Falkirk to Linlithgow,8.5,13.6,2.5
1670,-3.7679577,55.9831088,5,Falkirk to Linlithgow,8.5,13.6,2.5
1671,-3.7665356,55.983202,5,Falkirk to Linlithgow,8.5,13.6,2.5
