index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
1941,-3.6288571,55.9761718,6,Linlithgow to South Queensferry,14,22.4,3
1942,-3.6288034,55.97655,6,Linlithgow to South Queensferry,14,22.4,3
1943,-3.6287176,55.9770062,6,Linlithgow to South Queensferry,14,22.4,3
1944,-3.6285996,55.9775285,6,Linlithgow to South Queensferry,14,22.4,3
1945,-3.6284601,55.9779487,6,Linlithgow to South Queensferry,14,22.4,3
1946,-3.6281597,55.9784289,6,Linlithgow to South Queensferry,14,22.4,3
1947,-3.6278164,55.9788431,6,Linlithgow to South Queensferry,14,22.4,3
1948,-3.6270445,55.9796203,6,Linlithgow to South Queensferry,14,22.4,3
1949,-3.6266684,55.9799716,6,Linlithgow to South Queensferry,14,22.4,3
1950,-3.6260448,55.9806044,6,Linlithgow to South Queensferry,14,22.4,3
1951,-3.6255387,55.981124199999996,6,Linlithgow to South Queensferry,14,22.4,3
1952,-3.6245712,55.9820523,6,Linlithgow to South Queensferry,14,22.4,3
1953,-3.6241455,55.9824535,6,Linlithgow to South Queensferry,14,22.4,3
1954,-3.6239303,55.9826769,6,Linlithgow to South Queensferry,14,22.4,3
1955,-3.6229146,55.9836084,6,Linlithgow to South Queensferry,14,22.4,3
1956,-3.6228116,55.9837207,6,Linlithgow to South Queensferry,14,22.4,3
1957,-3.6226411,55.9841301,6,Linlithgow to South Queensferry,14,22.4,3
1958,-3.6224703,55.9843198,6,Linlithgow to South Queensferry,14,22.4,3
1959,-3.622281,55.9844129,6,Linlithgow to South Queensferry,14,22.4,3
1960,-3.6221256,55.9844598,6,Linlithgow to South Queensferry,14,22.4,3
1961,-3.6222004,55.9845434,6,Linlithgow to South Queensferry,14,22.4,3
1962,-3.6221671,55.9846348,6,Linlithgow to South Queensferry,14,22.4,3
1963,-3.6220539,55.9847107,6,Linlithgow to South Queensferry,14,22.4,3
1964,-3.6216775,55.9850288,6,Linlithgow to South Queensferry,14,22.4,3
1965,-3.6215814,55.9852604,6,Linlithgow to South Queensferry,14,22.4,3
1966,-3.6216106,55.9854967,6,Linlithgow to South Queensferry,14,22.4,3
1967,-3.6217863,55.9861189,6,Linlithgow to South Queensferry,14,22.4,3
1968,-3.6220539,55.9870967,6,Linlithgow to South Queensferry,14,22.4,3
1969,-3.6220079,55.9871529,6,Linlithgow to South Queensferry,14,22.4,3
1970,-3.6226184,55.9884347,6,Linlithgow to South Queensferry,14,22.4,3
1971,-3.622677,55.9884839,6,Linlithgow to South Queensferry,14,22.4,3
1972,-3.6225892,55.988547,6,Linlithgow to South Queensferry,14,22.4,3
1973,-3.6227774,55.9894218,6,Linlithgow to South Queensferry,14,22.4,3
1974,-3.6228777,55.9896581,6,Linlithgow to South Queensferry,14,22.4,3
1975,-3.6230701,55.9903388,6,Linlithgow to South Queensferry,14,22.4,3
1976,-3.6231788,55.9905025,6,Linlithgow to South Queensferry,14,22.4,3
1977,-3.6234799,55.994523,6,Linlithgow to South Queensferry,14,22.4,3
1978,-3.6236557,55.9964382,6,Linlithgow to South Queensferry,14,22.4,3
1979,-3.6243392,55.9965035,6,Linlithgow to South Queensferry,14,22.4,3
1980,-3.6250501,55.9965195,6,Linlithgow to South Queensferry,14,22.4,3
1981,-3.6269156,56.0007669,6,Linlithgow to South Queensferry,14,22.4,3
1982,-3.6268784,56.0008642,6,Linlithgow to South Queensferry,14,22.4,3
1983,-3.6270244,56.0008417,6,Linlithgow to South Queensferry,14,22.4,3
1984,-3.6271175,56.001035,6,Linlithgow to South Queensferry,14,22.4,3
1985,-3.6276359,56.0018105,6,Linlithgow to South Queensferry,14,22.4,3
1986,-3.6279914,56.0021834,6,Linlithgow to South Queensferry,14,22.4,3
1987,-3.628334,56.0021463,6,Linlithgow to South Queensferry,14,22.4,3
1988,-3.6303099,56.0022726,6,Linlithgow to South Queensferry,14,22.4,3
1989,-3.6304328,56.0024705,6,Linlithgow to South Queensferry,14,22.4,3
1990,-3.6307808,56.0028254,6,Linlithgow to South Queensferry,14,22.4,3
1991,-3.6309992,56.0031325,6,Linlithgow to South Queensferry,14,22.4,3
1992,-3.631204,56.0033919,6,Linlithgow to South Queensferry,14,22.4,3
1993,-3.6313405,56.0035761,6,Linlithgow to South Queensferry,14,22.4,3
1994,-3.6316067,56.0039106,6,Linlithgow to South Queensferry,14,22.4,3
1995,-3.6318183,56.0041085,6,Linlithgow to South Queensferry,14,22.4,3
1996,-3.6321732,56.0043747,6,Linlithgow to South Queensferry,14,22.4,3
1997,-3.6324189,56.0044771,6,Linlithgow to South Queensferry,14,22.4,3
1998,-3.6327806,56.0045794,6,Linlithgow to South Queensferry,14,22.4,3
1999,-3.6330673,56.004617,6,Linlithgow to South Queensferry,14,22.4,3
2000,-3.6332993,56.0049036,6,Linlithgow to South Queensferry,14,22.4,3
2001,-3.6336133,56.0051562,6,Linlithgow to South Queensferry,14,22.4,3
2002,-3.6337361,56.0053814,6,Linlithgow to South Queensferry,14,22.4,3
2003,-3.6340364,56.0056953,6,Linlithgow to South Queensferry,14,22.4,3
2004,-3.6339818,56.0057977,6,Linlithgow to South Queensferry,14,22.4,3
