index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
2645,-3.3850576,55.990484,7,South Queensferry to Edinburgh,15.5,24.8,3
2646,-3.3847394,55.990541,7,South Queensferry to Edinburgh,15.5,24.8,3
2647,-3.3845315,55.990566,7,South Queensferry to Edinburgh,15.5,24.8,3
2648,-3.3843385,55.9905765,7,South Queensferry to Edinburgh,15.5,24.8,3
2649,-3.3841749,55.9905714,7,South Queensferry to Edinburgh,15.5,24.8,3
2650,-3.3839821,55.9906466,7,South Queensferry to Edinburgh,15.5,24.8,3
2651,-3.3837968,55.9906611,7,South Queensferry to Edinburgh,15.5,24.8,3
2652,-3.3836893,55.9906596,7,South Queensferry to Edinburgh,15.5,24.8,3
2653,-3.3831261,55.9905443,7,South Queensferry to Edinburgh,15.5,24.8,3
2654,-3.3827514,55.9905095,7,South Queensferry to Edinburgh,15.5,24.8,3
2655,-3.3824036,55.9905152,7,South Queensferry to Edinburgh,15.5,24.8,3
2656,-3.3819181,55.990569,7,South Queensferry to Edinburgh,15.5,24.8,3
2657,-3.3815753,55.9906175,7,South Queensferry to Edinburgh,15.5,24.8,3
2658,-3.3813476,55.9907081,7,South Queensferry to Edinburgh,15.5,24.8,3
2659,-3.3810609,55.9907555,7,South Queensferry to Edinburgh,15.5,24.8,3
2660,-3.3807951,55.9909099,7,South Queensferry to Edinburgh,15.5,24.8,3
2661,-3.3805713,55.9909801,7,South Queensferry to Edinburgh,15.5,24.8,3
2662,-3.3803446,55.9910188,7,South Queensferry to Edinburgh,15.5,24.8,3
2663,-3.3801055,55.9909886,7,South Queensferry to Edinburgh,15.5,24.8,3
2664,-3.3798433,55.9909871,7,South Queensferry to Edinburgh,15.5,24.8,3
2665,-3.3795405,55.9910366,7,South Queensferry to Edinburgh,15.5,24.8,3
2666,-3.3792815,55.9911284,7,South Queensferry to Edinburgh,15.5,24.8,3
2667,-3.378956,55.9912017,7,South Queensferry to Edinburgh,15.5,24.8,3
2668,-3.3777461,55.9912259,7,South Queensferry to Edinburgh,15.5,24.8,3
2669,-3.3768026,55.9913716,7,South Queensferry to Edinburgh,15.5,24.8,3
2670,-3.3762446,55.9915862,7,South Queensferry to Edinburgh,15.5,24.8,3
2671,-3.375996,55.9916973,7,South Queensferry to Edinburgh,15.5,24.8,3
2672,-3.37572,55.9918512,7,South Queensferry to Edinburgh,15.5,24.8,3
2673,-3.3743793,55.9926268,7,South Queensferry to Edinburgh,15.5,24.8,3
2674,-3.3734614,55.9932044,7,South Queensferry to Edinburgh,15.5,24.8,3
2675,-3.3732949,55.9933044,7,South Queensferry to Edinburgh,15.5,24.8,3
2676,-3.3732263,55.9933218,7,South Queensferry to Edinburgh,15.5,24.8,3
2677,-3.3726997,55.9936358,7,South Queensferry to Edinburgh,15.5,24.8,3
2678,-3.3724096,55.9937324,7,South Queensferry to Edinburgh,15.5,24.8,3
2679,-3.3718133,55.9938168,7,South Queensferry to Edinburgh,15.5,24.8,3
2680,-3.3707354,55.9940105,7,South Queensferry to Edinburgh,15.5,24.8,3
2681,-3.369632,55.9942662,7,South Queensferry to Edinburgh,15.5,24.8,3
2682,-3.3690084,55.9944669,7,South Queensferry to Edinburgh,15.5,24.8,3
2683,-3.3685735,55.9946948,7,South Queensferry to Edinburgh,15.5,24.8,3
2684,-3.3679993,55.995139,7,South Queensferry to Edinburgh,15.5,24.8,3
2685,-3.3668492,55.996387,7,South Queensferry to Edinburgh,15.5,24.8,3
2686,-3.3666346,55.9968574,7,South Queensferry to Edinburgh,15.5,24.8,3
2687,-3.3663943,55.9972798,7,South Queensferry to Edinburgh,15.5,24.8,3
2688,-3.3659651,55.9977406,7,South Queensferry to Edinburgh,15.5,24.8,3
2689,-3.3657195,55.9979734,7,South Queensferry to Edinburgh,15.5,24.8,3
2690,-3.3654267,55.9981676,7,South Queensferry to Edinburgh,15.5,24.8,3
2691,-3.3650817,55.9983762,7,South Queensferry to Edinburgh,15.5,24.8,3
2692,-3.3646433,55.998595,7,South Queensferry to Edinburgh,15.5,24.8,3
2693,-3.3641627,55.9987678,7,South Queensferry to Edinburgh,15.5,24.8,3
2694,-3.3628924,55.9989645,7,South Queensferry to Edinburgh,15.5,24.8,3
2695,-3.361041,55.9992597,7,South Queensferry to Edinburgh,15.5,24.8,3
2696,-3.359708,55.9994061,7,South Queensferry to Edinburgh,15.5,24.8,3
2697,-3.3586952,55.9994541,7,South Queensferry to Edinburgh,15.5,24.8,3
2698,-3.3572605,55.9994138,7,South Queensferry to Edinburgh,15.5,24.8,3
2699,-3.3566096,55.9993867,7,South Queensferry to Edinburgh,15.5,24.8,3
2700,-3.3558365,55.9995988,7,South Queensferry to Edinburgh,15.5,24.8,3
2701,-3.3549874,55.9996557,7,South Queensferry to Edinburgh,15.5,24.8,3
2702,-3.3538458,55.9997181,7,South Queensferry to Edinburgh,15.5,24.8,3
2703,-3.3532192,55.9997901,7,South Queensferry to Edinburgh,15.5,24.8,3
2704,-3.3523781,55.9999869,7,South Queensferry to Edinburgh,15.5,24.8,3
2705,-3.3520384,56.0000446,7,South Queensferry to Edinburgh,15.5,24.8,3
2706,-3.3517581,56.0002874,7,South Queensferry to Edinburgh,15.5,24.8,3
2707,-3.3514431,56.0006273,7,South Queensferry to Edinburgh,15.5,24.8,3
2708,-3.3512085,56.0006723,7,South Queensferry to Edinburgh,15.5,24.8,3
2709,-3.3506968,56.0004747,7,South Queensferry to Edinburgh,15.5,24.8,3
2710,-3.3502034,56.0001479,7,South Queensferry to Edinburgh,15.5,24.8,3
2711,-3.3498681,55.9996346,7,South Queensferry to Edinburgh,15.5,24.8,3
2712,-3.3496453,55.9994371,7,South Queensferry to Edinburgh,15.5,24.8,3
2713,-3.3494337,55.9992606,7,South Queensferry to Edinburgh,15.5,24.8,3
2714,-3.3487389,55.9989597,7,South Queensferry to Edinburgh,15.5,24.8,3
2715,-3.3477947,55.998451,7,South Queensferry to Edinburgh,15.5,24.8,3
2716,-3.3475795,55.9982828,7,South Queensferry to Edinburgh,15.5,24.8,3
2717,-3.3468035,55.9979047,7,South Queensferry to Edinburgh,15.5,24.8,3
2718,-3.346331,55.9975515,7,South Queensferry to Edinburgh,15.5,24.8,3
2719,-3.3460723,55.997447,7,South Queensferry to Edinburgh,15.5,24.8,3
2720,-3.3454405,55.9972132,7,South Queensferry to Edinburgh,15.5,24.8,3
2721,-3.344769,55.9969894,7,South Queensferry to Edinburgh,15.5,24.8,3
2722,-3.3441323,55.9968103,7,South Queensferry to Edinburgh,15.5,24.8,3
2723,-3.3426748,55.9963676,7,South Queensferry to Edinburgh,15.5,24.8,3
2724,-3.3419584,55.9961239,7,South Queensferry to Edinburgh,15.5,24.8,3
2725,-3.3415505,55.99591,7,South Queensferry to Edinburgh,15.5,24.8,3
2726,-3.3412372,55.9955219,7,South Queensferry to Edinburgh,15.5,24.8,3
2727,-3.3409685,55.9951091,7,South Queensferry to Edinburgh,15.5,24.8,3
2728,-3.3406651,55.9947808,7,South Queensferry to Edinburgh,15.5,24.8,3
2729,-3.3403119,55.9944126,7,South Queensferry to Edinburgh,15.5,24.8,3
2730,-3.3398841,55.9939699,7,South Queensferry to Edinburgh,15.5,24.8,3
2731,-3.3395707,55.9936217,7,South Queensferry to Edinburgh,15.5,24.8,3
2732,-3.3392896,55.9933915,7,South Queensferry to Edinburgh,15.5,24.8,3
2733,-3.3390036,55.9932003,7,South Queensferry to Edinburgh,15.5,24.8,3
2734,-3.3382418,55.9929452,7,South Queensferry to Edinburgh,15.5,24.8,3
2735,-3.3367576,55.9924002,7,South Queensferry to Edinburgh,15.5,24.8,3
2736,-3.3359314,55.9920078,7,South Queensferry to Edinburgh,15.5,24.8,3
2737,-3.3353596,55.9917189,7,South Queensferry to Edinburgh,15.5,24.8,3
2738,-3.3344738,55.990953,7,South Queensferry to Edinburgh,15.5,24.8,3
2739,-3.3332634,55.9892201,7,South Queensferry to Edinburgh,15.5,24.8,3
2740,-3.3327915,55.9885573,7,South Queensferry to Edinburgh,15.5,24.8,3
2741,-3.3325803,55.9881782,7,South Queensferry to Edinburgh,15.5,24.8,3
2742,-3.3325017,55.9879984,7,South Queensferry to Edinburgh,15.5,24.8,3
2743,-3.3325092,55.9878672,7,South Queensferry to Edinburgh,15.5,24.8,3
2744,-3.3325452,55.9877061,7,South Queensferry to Edinburgh,15.5,24.8,3
2745,-3.3326286,55.9874713,7,South Queensferry to Edinburgh,15.5,24.8,3
2746,-3.3327458,55.987331,7,South Queensferry to Edinburgh,15.5,24.8,3
2747,-3.3328649,55.9872183,7,South Queensferry to Edinburgh,15.5,24.8,3
2748,-3.3330086,55.9871152,7,South Queensferry to Edinburgh,15.5,24.8,3
2749,-3.3332015,55.9870567,7,South Queensferry to Edinburgh,15.5,24.8,3
2750,-3.3335148,55.9870167,7,South Queensferry to Edinburgh,15.5,24.8,3
2751,-3.3336267,55.9868261,7,South Queensferry to Edinburgh,15.5,24.8,3
2752,-3.3328075,55.986248,7,South Queensferry to Edinburgh,15.5,24.8,3
2753,-3.3319132,55.9856773,7,South Queensferry to Edinburgh,15.5,24.8,3
2754,-3.3306458,55.9849708,7,South Queensferry to Edinburgh,15.5,24.8,3
2755,-3.3292487,55.9841304,7,South Queensferry to Edinburgh,15.5,24.8,3
2756,-3.3279712,55.983507,7,South Queensferry to Edinburgh,15.5,24.8,3
2757,-3.3277215,55.9834671,7,South Queensferry to Edinburgh,15.5,24.8,3
2758,-3.3274428,55.9834389,7,South Queensferry to Edinburgh,15.5,24.8,3
2759,-3.3271558,55.9834323,7,South Queensferry to Edinburgh,15.5,24.8,3
2760,-3.3267233,55.9835064,7,South Queensferry to Edinburgh,15.5,24.8,3
2761,-3.3261654,55.9835304,7,South Queensferry to Edinburgh,15.5,24.8,3
2762,-3.3257448,55.9835304,7,South Queensferry to Edinburgh,15.5,24.8,3
2763,-3.3249518,55.9833424,7,South Queensferry to Edinburgh,15.5,24.8,3
2764,-3.3241339,55.9831301,7,South Queensferry to Edinburgh,15.5,24.8,3
2765,-3.3231587,55.9828825,7,South Queensferry to Edinburgh,15.5,24.8,3
2766,-3.3221571,55.9825834,7,South Queensferry to Edinburgh,15.5,24.8,3
2767,-3.3213502,55.9823747,7,South Queensferry to Edinburgh,15.5,24.8,3
2768,-3.3204112,55.9820478,7,South Queensferry to Edinburgh,15.5,24.8,3
2769,-3.3201984,55.981904,7,South Queensferry to Edinburgh,15.5,24.8,3
2770,-3.3200786,55.9818251,7,South Queensferry to Edinburgh,15.5,24.8,3
2771,-3.319883,55.9817733,7,South Queensferry to Edinburgh,15.5,24.8,3
2772,-3.3195375,55.981657,7,South Queensferry to Edinburgh,15.5,24.8,3
2773,-3.3194251,55.9816281,7,South Queensferry to Edinburgh,15.5,24.8,3
2774,-3.3192934,55.9816242,7,South Queensferry to Edinburgh,15.5,24.8,3
2775,-3.3174611,55.9818281,7,South Queensferry to Edinburgh,15.5,24.8,3
2776,-3.3166462,55.9818992,7,South Queensferry to Edinburgh,15.5,24.8,3
2777,-3.3164503,55.9818953,7,South Queensferry to Edinburgh,15.5,24.8,3
2778,-3.3162628,55.9818773,7,South Queensferry to Edinburgh,15.5,24.8,3
2779,-3.3161143,55.9818276,7,South Queensferry to Edinburgh,15.5,24.8,3
2780,-3.3159686,55.9817601,7,South Queensferry to Edinburgh,15.5,24.8,3
2781,-3.3158732,55.9816778,7,South Queensferry to Edinburgh,15.5,24.8,3
2782,-3.3158122,55.9815902,7,South Queensferry to Edinburgh,15.5,24.8,3
2783,-3.3157653,55.9814767,7,South Queensferry to Edinburgh,15.5,24.8,3
2784,-3.3157517,55.9813848,7,South Queensferry to Edinburgh,15.5,24.8,3
2785,-3.315752,55.9812859,7,South Queensferry to Edinburgh,15.5,24.8,3
2786,-3.3158742,55.9808711,7,South Queensferry to Edinburgh,15.5,24.8,3
2787,-3.3159687,55.9806589,7,South Queensferry to Edinburgh,15.5,24.8,3
2788,-3.3153889,55.9806991,7,South Queensferry to Edinburgh,15.5,24.8,3
2789,-3.3123878,55.980684,7,South Queensferry to Edinburgh,15.5,24.8,3
2790,-3.3121987,55.9806786,7,South Queensferry to Edinburgh,15.5,24.8,3
2791,-3.3119713,55.9806349,7,South Queensferry to Edinburgh,15.5,24.8,3
2792,-3.3083042,55.9790625,7,South Queensferry to Edinburgh,15.5,24.8,3
2793,-3.3089318,55.9784031,7,South Queensferry to Edinburgh,15.5,24.8,3
2794,-3.3098915,55.9774441,7,South Queensferry to Edinburgh,15.5,24.8,3
2795,-3.3116762,55.9756998,7,South Queensferry to Edinburgh,15.5,24.8,3
2796,-3.312707,55.9747196,7,South Queensferry to Edinburgh,15.5,24.8,3
2797,-3.3145135,55.9729032,7,South Queensferry to Edinburgh,15.5,24.8,3
2798,-3.3145958,55.9728058,7,South Queensferry to Edinburgh,15.5,24.8,3
2799,-3.3146572,55.9726794,7,South Queensferry to Edinburgh,15.5,24.8,3
2800,-3.3146755,55.9725916,7,South Queensferry to Edinburgh,15.5,24.8,3
2801,-3.3146497,55.9724823,7,South Queensferry to Edinburgh,15.5,24.8,3
2802,-3.3145955,55.9723992,7,South Queensferry to Edinburgh,15.5,24.8,3
2803,-3.3145115,55.9723204,7,South Queensferry to Edinburgh,15.5,24.8,3
2804,-3.3144035,55.9722575,7,South Queensferry to Edinburgh,15.5,24.8,3
2805,-3.3141329,55.9721545,7,South Queensferry to Edinburgh,15.5,24.8,3
2806,-3.3140075,55.9720526,7,South Queensferry to Edinburgh,15.5,24.8,3
2807,-3.3138682,55.9718364,7,South Queensferry to Edinburgh,15.5,24.8,3
2808,-3.3138078,55.9717766,7,South Queensferry to Edinburgh,15.5,24.8,3
