index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
3539,-3.182926,55.939969,8,Edinburgh to Prestonpans,10,16,2.5
3540,-3.1826857,55.9399892,8,Edinburgh to Prestonpans,10,16,2.5
3541,-3.1826741,55.9399533,8,Edinburgh to Prestonpans,10,16,2.5
3542,-3.1826495,55.939897,8,Edinburgh to Prestonpans,10,16,2.5
3543,-3.1825925,55.9398068,8,Edinburgh to Prestonpans,10,16,2.5
3544,-3.1825481,55.939754,8,Edinburgh to Prestonpans,10,16,2.5
3545,-3.1822516,55.9394221,8,Edinburgh to Prestonpans,10,16,2.5
3546,-3.1819681,55.9390644,8,Edinburgh to Prestonpans,10,16,2.5
3547,-3.181901,55.9389767,8,Edinburgh to Prestonpans,10,16,2.5
3548,-3.1797709,55.9391023,8,Edinburgh to Prestonpans,10,16,2.5
3549,-3.1795088,55.9391212,8,Edinburgh to Prestonpans,10,16,2.5
3550,-3.179218,55.9391499,8,Edinburgh to Prestonpans,10,16,2.5
3551,-3.1784434,55.9392304,8,Edinburgh to Prestonpans,10,16,2.5
3552,-3.1780513,55.9392799,8,Edinburgh to Prestonpans,10,16,2.5
3553,-3.1778832,55.9393043,8,Edinburgh to Prestonpans,10,16,2.5
3554,-3.1768447,55.9394704,8,Edinburgh to Prestonpans,10,16,2.5
3555,-3.1766084,55.9395111,8,Edinburgh to Prestonpans,10,16,2.5
3556,-3.1764795,55.9395353,8,Edinburgh to Prestonpans,10,16,2.5
3557,-3.1762554,55.9395843,8,Edinburgh to Prestonpans,10,16,2.5
3558,-3.1758297,55.9396807,8,Edinburgh to Prestonpans,10,16,2.5
3559,-3.1755803,55.9397435,8,Edinburgh to Prestonpans,10,16,2.5
3560,-3.1754694,55.9396332,8,Edinburgh to Prestonpans,10,16,2.5
3561,-3.1752502,55.9394327,8,Edinburgh to Prestonpans,10,16,2.5
3562,-3.175006,55.939218,8,Edinburgh to Prestonpans,10,16,2.5
3563,-3.1748886,55.939128,8,Edinburgh to Prestonpans,10,16,2.5
3564,-3.1747773,55.9390533,8,Edinburgh to Prestonpans,10,16,2.5
3565,-3.1746805,55.938995,8,Edinburgh to Prestonpans,10,16,2.5
3566,-3.1745643,55.9389375,8,Edinburgh to Prestonpans,10,16,2.5
3567,-3.1742789,55.9391923,8,Edinburgh to Prestonpans,10,16,2.5
3568,-3.1736349,55.9398026,8,Edinburgh to Prestonpans,10,16,2.5
3569,-3.1732536,55.9401561,8,Edinburgh to Prestonpans,10,16,2.5
3570,-3.1728843,55.9405246,8,Edinburgh to Prestonpans,10,16,2.5
3571,-3.1724058,55.9409985,8,Edinburgh to Prestonpans,10,16,2.5
3572,-3.1721017,55.9412948,8,Edinburgh to Prestonpans,10,16,2.5
3573,-3.1720085,55.9413735,8,Edinburgh to Prestonpans,10,16,2.5
3574,-3.171843,55.941502,8,Edinburgh to Prestonpans,10,16,2.5
3575,-3.1718069,55.9415267,8,Edinburgh to Prestonpans,10,16,2.5
3576,-3.1717671,55.9415509,8,Edinburgh to Prestonpans,10,16,2.5
3577,-3.1713726,55.9413974,8,Edinburgh to Prestonpans,10,16,2.5
3578,-3.1701281,55.9411859,8,Edinburgh to Prestonpans,10,16,2.5
3579,-3.1693213,55.9409408,8,Edinburgh to Prestonpans,10,16,2.5
3580,-3.1676603,55.9401604,8,Edinburgh to Prestonpans,10,16,2.5
3581,-3.1672569,55.9400109,8,Edinburgh to Prestonpans,10,16,2.5
3582,-3.1668091,55.9399582,8,Edinburgh to Prestonpans,10,16,2.5
3583,-3.1661799,55.9399169,8,Edinburgh to Prestonpans,10,16,2.5
3584,-3.166179,55.9397139,8,Edinburgh to Prestonpans,10,16,2.5
3585,-3.1653766,55.9393892,8,Edinburgh to Prestonpans,10,16,2.5
3586,-3.1652663,55.939439,8,Edinburgh to Prestonpans,10,16,2.5
3587,-3.1640781,55.9395178,8,Edinburgh to Prestonpans,10,16,2.5
3588,-3.1639588,55.9395465,8,Edinburgh to Prestonpans,10,16,2.5
3589,-3.1624262,55.9392056,8,Edinburgh to Prestonpans,10,16,2.5
3590,-3.1616538,55.9390253,8,Edinburgh to Prestonpans,10,16,2.5
3591,-3.1609014,55.9388543,8,Edinburgh to Prestonpans,10,16,2.5
3592,-3.1605473,55.9387845,8,Edinburgh to Prestonpans,10,16,2.5
3593,-3.1602784,55.9387393,8,Edinburgh to Prestonpans,10,16,2.5
3594,-3.1599571,55.9386925,8,Edinburgh to Prestonpans,10,16,2.5
3595,-3.1597257,55.9386618,8,Edinburgh to Prestonpans,10,16,2.5
3596,-3.1595134,55.9386372,8,Edinburgh to Prestonpans,10,16,2.5
3597,-3.159288,55.9386231,8,Edinburgh to Prestonpans,10,16,2.5
3598,-3.1580262,55.9385636,8,Edinburgh to Prestonpans,10,16,2.5
3599,-3.1573881,55.9385253,8,Edinburgh to Prestonpans,10,16,2.5
3600,-3.156767,55.9385,8,Edinburgh to Prestonpans,10,16,2.5
3601,-3.156136,55.938424,8,Edinburgh to Prestonpans,10,16,2.5
3602,-3.1501998,55.9374565,8,Edinburgh to Prestonpans,10,16,2.5
3603,-3.1488538,55.9372306,8,Edinburgh to Prestonpans,10,16,2.5
3604,-3.1462615,55.9368056,8,Edinburgh to Prestonpans,10,16,2.5
3605,-3.145026,55.936617,8,Edinburgh to Prestonpans,10,16,2.5
3606,-3.1443493,55.9364934,8,Edinburgh to Prestonpans,10,16,2.5
3607,-3.1441615,55.9364604,8,Edinburgh to Prestonpans,10,16,2.5
3608,-3.1436842,55.9363866,8,Edinburgh to Prestonpans,10,16,2.5
3609,-3.1435423,55.9363777,8,Edinburgh to Prestonpans,10,16,2.5
3610,-3.1434484,55.9364005,8,Edinburgh to Prestonpans,10,16,2.5
3611,-3.1433734,55.936424,8,Edinburgh to Prestonpans,10,16,2.5
3612,-3.1433656,55.9364845,8,Edinburgh to Prestonpans,10,16,2.5
3613,-3.143323,55.9365088,8,Edinburgh to Prestonpans,10,16,2.5
3614,-3.1428367,55.936528,8,Edinburgh to Prestonpans,10,16,2.5
3615,-3.1426021,55.9365518,8,Edinburgh to Prestonpans,10,16,2.5
3616,-3.141826,55.936672,8,Edinburgh to Prestonpans,10,16,2.5
