index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
4138,-2.9827399,55.9603298,9,Prestonpans to North Berwick,16.5,26.4,3
4139,-2.9819455,55.9606454,9,Prestonpans to North Berwick,16.5,26.4,3
4140,-2.9812393,55.9609496,9,Prestonpans to North Berwick,16.5,26.4,3
4141,-2.9800174,55.9614386,9,Prestonpans to North Berwick,16.5,26.4,3
4142,-2.9792109,55.9617176,9,Prestonpans to North Berwick,16.5,26.4,3
4143,-2.9784804,55.9619844,9,Prestonpans to North Berwick,16.5,26.4,3
4144,-2.9778359,55.9622502,9,Prestonpans to North Berwick,16.5,26.4,3
4145,-2.9774401,55.9624372,9,Prestonpans to North Berwick,16.5,26.4,3
4146,-2.9765304,55.9628815,9,Prestonpans to North Berwick,16.5,26.4,3
4147,-2.9760661,55.9631398,9,Prestonpans to North Berwick,16.5,26.4,3
4148,-2.9757273,55.9633144,9,Prestonpans to North Berwick,16.5,26.4,3
4149,-2.9755319,55.9634259,9,Prestonpans to North Berwick,16.5,26.4,3
4150,-2.9753389,55.963555,9,Prestonpans to North Berwick,16.5,26.4,3
4151,-2.9755729,55.9637108,9,Prestonpans to North Berwick,16.5,26.4,3
4152,-2.9756456,55.9638087,9,Prestonpans to North Berwick,16.5,26.4,3
4153,-2.9757928,55.963883,9,Prestonpans to North Berwick,16.5,26.4,3
4154,-2.9764292,55.9640695,9,Prestonpans to North Berwick,16.5,26.4,3
4155,-2.9765565,55.9642071,9,Prestonpans to North Berwick,16.5,26.4,3
4156,-2.9766137,55.9645082,9,Prestonpans to North Berwick,16.5,26.4,3
4157,-2.9764176,55.9648442,9,Prestonpans to North Berwick,16.5,26.4,3
4158,-2.9764422,55.9650919,9,Prestonpans to North Berwick,16.5,26.4,3
4159,-2.9765478,55.965305,9,Prestonpans to North Berwick,16.5,26.4,3
4160,-2.9770027,55.9655901,9,Prestonpans to North Berwick,16.5,26.4,3
4161,-2.9772124,55.9659285,9,Prestonpans to North Berwick,16.5,26.4,3
4162,-2.9772475,55.9661536,9,Prestonpans to North Berwick,16.5,26.4,3
4163,-2.9768178,55.9667716,9,Prestonpans to North Berwick,16.5,26.4,3
4164,-2.9758756,55.9671867,9,Prestonpans to North Berwick,16.5,26.4,3
4165,-2.9748994,55.9676638,9,Prestonpans to North Berwick,16.5,26.4,3
4166,-2.9746077,55.9681816,9,Prestonpans to North Berwick,16.5,26.4,3
4167,-2.9713126,55.9702439,9,Prestonpans to North Berwick,16.5,26.4,3
4168,-2.9701917,55.9702765,9,Prestonpans to North Berwick,16.5,26.4,3
4169,-2.96978,55.9701702,9,Prestonpans to North Berwick,16.5,26.4,3
4170,-2.9696548,55.9700296,9,Prestonpans to North Berwick,16.5,26.4,3
4171,-2.9695855,55.9700009,9,Prestonpans to North Berwick,16.5,26.4,3
4172,-2.9693445,55.969888,9,Prestonpans to North Berwick,16.5,26.4,3
4173,-2.9692666,55.9698461,9,Prestonpans to North Berwick,16.5,26.4,3
4174,-2.9691524,55.9697906,9,Prestonpans to North Berwick,16.5,26.4,3
4175,-2.9690708,55.9698472,9,Prestonpans to North Berwick,16.5,26.4,3
4176,-2.9684585,55.9695597,9,Prestonpans to North Berwick,16.5,26.4,3
4177,-2.9670087,55.969271,9,Prestonpans to North Berwick,16.5,26.4,3
4178,-2.9654222,55.9690685,9,Prestonpans to North Berwick,16.5,26.4,3
4179,-2.9653586,55.9690024,9,Prestonpans to North Berwick,16.5,26.4,3
4180,-2.9643739,55.9691447,9,Prestonpans to North Berwick,16.5,26.4,3
4181,-2.964485,55.969265,9,Prestonpans to North Berwick,16.5,26.4,3
4182,-2.965177,55.969843,9,Prestonpans to North Berwick,16.5,26.4,3
4183,-2.9652,55.969952,9,Prestonpans to North Berwick,16.5,26.4,3
4184,-2.965157,55.970033,9,Prestonpans to North Berwick,16.5,26.4,3
4185,-2.9648528,55.9702257,9,Prestonpans to North Berwick,16.5,26.4,3
4186,-2.965435,55.9706008,9,Prestonpans to North Berwick,16.5,26.4,3
4187,-2.9655082,55.970655,9,Prestonpans to North Berwick,16.5,26.4,3
4188,-2.9652189,55.9706926,9,Prestonpans to North Berwick,16.5,26.4,3
4189,-2.9649484,55.9707257,9,Prestonpans to North Berwick,16.5,26.4,3
4190,-2.9647005,55.9706564,9,Prestonpans to North Berwick,16.5,26.4,3
4191,-2.9639678,55.9707476,9,Prestonpans to North Berwick,16.5,26.4,3
