index,longitude,latitude,section,route,distance_miles,distance_kilometers,avg_time_to_complete
1,-4.736496626,56.002441422,1,Helensburgh to Balloch,9,14.4,4
2,-4.735909005,56.003112061,1,Helensburgh to Balloch,9,14.4,4
3,-4.731260548,56.012346179,1,Helensburgh to Balloch,9,14.4,4
4,-4.72925388,56.012032628,1,Helensburgh to Balloch,9,14.4,4
5,-4.729158768,56.012410134,1,Helensburgh to Balloch,9,14.4,4
6,-4.731082255,56.012697605,1,Helensburgh to Balloch,9,14.4,4
7,-4.730019617,56.014803639,1,Helensburgh to Balloch,9,14.4,4
8,-4.729644891,56.015461862,1,Helensburgh to Balloch,9,14.4,4
9,-4.72857739,56.017574253,1,Helensburgh to Balloch,9,14.4,4
10,-4.728388194,56.017836567,1,Helensburgh to Balloch,9,14.4,4
11,-4.728003695,56.018016323,1,Helensburgh to Balloch,9,14.4,4
12,-4.727622803,56.018046022,1,Helensburgh to Balloch,9,14.4,4
13,-4.724139742,56.01690963,1,Helensburgh to Balloch,9,14.4,4
14,-4.72306684,56.016619575,1,Helensburgh to Balloch,9,14.4,4
15,-4.720241589,56.017246042,1,Helensburgh to Balloch,9,14.4,4
16,-4.719002617,56.017544749,1,Helensburgh to Balloch,9,14.4,4
17,-4.714519903,56.01862897,1,Helensburgh to Balloch,9,14.4,4
18,-4.71374195,56.018990311,1,Helensburgh to Balloch,9,14.4,4
19,-4.712609615,56.019668092,1,Helensburgh to Balloch,9,14.4,4
20,-4.711206508,56.020277452,1,Helensburgh to Balloch,9,14.4,4
21,-4.710637178,56.020436962,1,Helensburgh to Balloch,9,14.4,4
22,-4.709062074,56.020757616,1,Helensburgh to Balloch,9,14.4,4
23,-4.707743202,56.020934161,1,Helensburgh to Balloch,9,14.4,4
24,-4.706461286,56.021002784,1,Helensburgh to Balloch,9,14.4,4
25,-4.705703723,56.020922046,1,Helensburgh to Balloch,9,14.4,4
26,-4.704136718,56.020602261,1,Helensburgh to Balloch,9,14.4,4
27,-4.701667548,56.020374238,1,Helensburgh to Balloch,9,14.4,4
28,-4.699536032,56.020294019,1,Helensburgh to Balloch,9,14.4,4
29,-4.698238422,56.020293263,1,Helensburgh to Balloch,9,14.4,4
30,-4.697163652,56.020377542,1,Helensburgh to Balloch,9,14.4,4
31,-4.693410994,56.020711403,1,Helensburgh to Balloch,9,14.4,4
32,-4.691576598,56.020897844,1,Helensburgh to Balloch,9,14.4,4
33,-4.690389646,56.021055305,1,Helensburgh to Balloch,9,14.4,4
34,-4.689231822,56.021014484,1,Helensburgh to Balloch,9,14.4,4
35,-4.688545607,56.020940294,1,Helensburgh to Balloch,9,14.4,4
36,-4.687754727,56.020881875,1,Helensburgh to Balloch,9,14.4,4
37,-4.686260773,56.021096503,1,Helensburgh to Balloch,9,14.4,4
38,-4.684748474,56.021553734,1,Helensburgh to Balloch,9,14.4,4
39,-4.684340368,56.021689977,1,Helensburgh to Balloch,9,14.4,4
40,-4.683340882,56.020907588,1,Helensburgh to Balloch,9,14.4,4
41,-4.683468238,56.019736307,1,Helensburgh to Balloch,9,14.4,4
42,-4.682565367,56.018751039,1,Helensburgh to Balloch,9,14.4,4
